Project	Cell_Type	Genotype	Condition	Time	Bio_Rep	Tech_Rep	Seq_Rep	Tag	User_ONYEN	Date_Sequenced	ReadLength_Cycles	Sequencer	Protocol	Notebook_Info	Date_Lib_Prep_Start	Date_Lib_Prep_End	Notes	Read1	Read2	Sequencing_Directory
PROS	HEK	22Rv1_EV	NAN	NAN	1	1	2	S	yoseli	1/15/20	151	NovaSeq S4	In situ HiC regular		11/14/19	11/20/19	Wang lab samples. PROS project 1st attemp.	EV1_CKDL190145437-1a-2_HV2Y2DSXX_L3_1.fq.gz	EV1_CKDL190145437-1a-2_HV2Y2DSXX_L3_2.fq.gz	/pine/scr/e/s/esdavis/reads/
PROS	HEK	22Rv1_EV	NAN	NAN	2	1	2	S	yoseli	1/15/20	151	NovaSeq S4	In situ HiC regular		11/14/19	11/20/19		EV2_CKDL190145437-1a-6_HV2Y2DSXX_L3_1.fq.gz	EV2_CKDL190145437-1a-6_HV2Y2DSXX_L3_2.fq.gz	/pine/scr/e/s/esdavis/reads/
PROS	HEK	22Rv1_EV	NAN	NAN	3	1	2	S	yoseli	1/15/20	151	NovaSeq S4	In situ HiC regular		11/14/19	11/20/19		EV3_CKDL190145437-1a-7_HV2Y2DSXX_L3_1.fq.gz	EV3_CKDL190145437-1a-7_HV2Y2DSXX_L3_2.fq.gz	/pine/scr/e/s/esdavis/reads/
PROS	HEK	22Rv1_EV	NAN	NAN	4	1	2	S	yoseli	1/15/20	151	NovaSeq S4	In situ HiC regular		11/14/19	11/20/19		EV4_CKDL190145437-1a-13_HV2Y2DSXX_L3_1.fq.gz	EV4_CKDL190145437-1a-13_HV2Y2DSXX_L3_2.fq.gz	/pine/scr/e/s/esdavis/reads/
PROS	HEK	22Rv1_shYY1	NAN	NAN	1	1	2	S	yoseli	1/15/20	151	NovaSeq S4	In situ HiC regular		11/14/19	11/20/19		SH1_CKDL190145437-1a-14_HV2Y2DSXX_L3_1.fq.gz	SH1_CKDL190145437-1a-14_HV2Y2DSXX_L3_2.fq.gz	/pine/scr/e/s/esdavis/reads/
PROS	HEK	22Rv1_shYY1	NAN	NAN	2	1	2	S	yoseli	1/15/20	151	NovaSeq S4	In situ HiC regular		11/14/19	11/20/19		SH2_CKDL190145437-1a-15_HV2Y2DSXX_L3_1.fq.gz	SH2_CKDL190145437-1a-15_HV2Y2DSXX_L3_2.fq.gz	/pine/scr/e/s/esdavis/reads/
PROS	HEK	22Rv1_shYY1	NAN	NAN	3	1	2	S	yoseli	1/15/20	151	NovaSeq S4	In situ HiC regular		11/14/19	11/20/19		SH3_CKDL190145437-1a-16_HV2Y2DSXX_L3_1.fq.gz	SH3_CKDL190145437-1a-16_HV2Y2DSXX_L3_2.fq.gz	/pine/scr/e/s/esdavis/reads/
PROS	HEK	22Rv1_shYY1	NAN	NAN	4	1	2	S	yoseli	1/15/20	151	NovaSeq S4	In situ HiC regular		11/14/19	11/20/19		SH4_CKDL190145437-1a-18_HV2Y2DSXX_L3_1.fq.gz	SH4_CKDL190145437-1a-18_HV2Y2DSXX_L3_2.fq.gz	/pine/scr/e/s/esdavis/reads/
PROS	HEK	22Rv1_EV	NAN	NAN	1	1	3	S	yoseli	1/15/20	151	NovaSeq S4	In situ HiC regular		11/14/19	11/20/19		EV1_CKDL190145437-1a-2_HV2Y2DSXX_L4_1.fq.gz	EV1_CKDL190145437-1a-2_HV2Y2DSXX_L4_2.fq.gz	/pine/scr/e/s/esdavis/reads/
PROS	HEK	22Rv1_EV	NAN	NAN	2	1	3	S	yoseli	1/15/20	151	NovaSeq S4	In situ HiC regular		11/14/19	11/20/19		EV2_CKDL190145437-1a-6_HV2Y2DSXX_L4_1.fq.gz	EV2_CKDL190145437-1a-6_HV2Y2DSXX_L4_2.fq.gz	/pine/scr/e/s/esdavis/reads/
